X,Y,OBJECTID,Pole_Material,Pole_Arm_Type,Luminaire_Type,Lamp_Type,Lamp_Wattage,Controller_ID,Northing,Easting,Pole_Height,InstallDate,FACILITYID,Receptacle,ControllerCircuit,Pole_Color,Pole_Manufacturer,Lamp_Manufacturer,Decorative,Notes,Location_Adjusted,RepairYear,FieldVerifiedDate
-88.2345179977499,40.1108310005225,480,Aluminum,Other,Cobra,HPS,100,SL086,1254293.59155,1011890.23915,1,,864,Yes,,Black,,GE,No,,AERIAL,,
-88.2342843043823,40.1107839422904,481,Aluminum,Other,Cobra,HPS,100,SL086,1254278.4835,1011955.900925,1,,865,Yes,,Black,,GE,No,,AERIAL,,
-88.2341017080187,40.110833115033,482,Aluminum,Other,Cobra,HPS,100,SL086,1254296.496875,1012011.6844,1,,866,Yes,,Black,,GE,No,,AERIAL,,
-88.2338863988003,40.1107837175132,483,Aluminum,Other,Cobra,HPS,100,SL086,1254277.321325,1012071.24485,1,,867,Yes,,Black,,GE,No,,AERIAL,,
-88.2336748065588,40.1108359123984,484,Cast Aluminum,Other,Globe,HPS,100,SL086,1254298.82122499,1012129.352625,1,,868,Yes,,Black,,GE,Yes,,AERIAL,,
-88.2334658495026,40.1108769900518,485,Cast Aluminum,Other,Globe,HPS,100,SL086,1254314.510325,1012187.46035,1,,869,Yes,,Black,,GE,Yes,,AERIAL,,
-88.2332716803433,40.1108168912765,486,Aluminum,Other,Cobra,HPS,100,SL086,1254290.803525,1012239.121025,1,,870,Yes,,Black,,GE,No,,AERIAL,,
-88.233079043166,40.1108792028574,487,Aluminum,Other,Cobra,HPS,100,SL086,1254313.563125,1012292.976475,1,,871,Yes,,Black,,GE,No,,AERIAL,,
-88.2328379612555,40.1108167616423,488,Aluminum,Other,Cobra,HPS,100,SL086,1254290.8929,1012360.43355,1,,872,Yes,,Black,,GE,No,,AERIAL,,
-88.2326034134012,40.1108376964699,489,Aluminum,Other,Cobra,HPS,100,SL086,1254298.59344999,1012426.0285,1,,873,Yes,,Black,,GE,No,,AERIAL,,
-88.2319915344158,40.1108742765748,490,Aluminum,Other,Cobra,HPS,100,SL086,1254312.11347499,1012597.157325,1,,874,Yes,,Black,,GE,No,,AERIAL,,
-88.2318012966315,40.1108184990731,491,Aluminum,Other,Cobra,HPS,100,SL086,1254293.59155,1012652.612975,1,,875,Yes,,Black,,GE,No,,AERIAL,,
-88.2313255536493,40.1108284589615,492,Aluminum,Other,Cobra,HPS,100,SL086,1254295.63595,1012783.45295,1,,876,Yes,,Black,,GE,No,,AERIAL,,
-88.2722457383149,40.1135221835159,493,Cast Iron,Other,Globe,IND,55,SL010,1255266.421425,1001337.29855,7,,880,No,,Green,,QL,Yes,,AERIAL,,
